Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.5529334264643052,0.8128110766410828,499.6448531132959,1270.4958157771537,0.6948326826095581,489.11670470505624,1294.1333099250937,0.870384931564331,560.1613705524345,1302.2303663389514,0.5821548104286194,448.87538038389516,1240.5489232209738,0.207667738199234,565.5638459737828,1194.1677639279026,0.3067627549171448,336.1094042602997,396.63590677668543,0.30634230375289917,521.9098929073034,974.7680389747192,0.36605221033096313,655.1944346910113,356.5512347846442,0.6207122802734375,267.74827364232215,819.3390098314607,0.9873558282852173,626.1227176966293,1074.2400368679776,0.4544740319252014,479.0410668305244,1001.0435685861423,0.6953808069229126,639.0968808520599,946.3624327013109,0.2412920594215393,558.8850362827716,930.9541783707865,0.43436741828918457,765.2942123127341,769.8259012172285,0.7031919360160828,769.3387903792136,770.0917310393259,0.9035601019859314,612.3846412687267,1093.8043510065543,0.21252527832984924,577.6931911282771,1061.8085791198503
1,0.5593994329957401,0.8345881700515747,566.31093457397,1218.030635533708,0.8190556168556213,524.5940864934457,1253.9668188202247,0.9132421612739563,555.6266824672285,1263.77735838015,0.5217819809913635,493.18249648876406,1223.2730571161048,0.28319495916366577,557.4248741807116,1216.159073618914,0.27491962909698486,357.76363529962555,355.7006744499064,0.10421845316886902,516.8331577715356,1007.9570458801498,0.3750501275062561,272.51075316011236,694.4578797986892,0.5254438519477844,261.3878891619851,787.5449877106741,0.9908614158630371,653.9983467930713,1075.351416198502,0.5128970742225647,641.9839946161048,1104.9865402621724,0.6322181224822998,631.4339741338952,953.7352235486892,0.3584957718849182,329.16257022471916,876.0797782069288,0.4681796133518219,764.0529904026218,764.673601357678,0.708066463470459,768.4074350421349,775.5230278558053,0.7546865344047546,647.9130822799625,1078.1138810861423,0.4328904151916504,611.0157713014983,1067.9983760533707
2,0.5688769975129295,0.9055016040802002,562.8876258192885,1242.2372425093633,0.6310927867889404,510.01163096910113,1286.6992919007491,0.9224042892456055,553.5055301966293,1276.9619030898878,0.5664728283882141,374.3756583567416,1218.2482590121724,0.3752167522907257,590.269926264045,1203.614159058989,0.16040116548538208,368.5233058286517,1061.4453125,0.3073485493659973,434.912658005618,31.672893624180713,0.24469426274299622,261.0826310861423,693.2230220037453,0.4426075220108032,256.97631378745325,783.9769136235956,0.9910246133804321,642.1433900983147,1075.2389834971912,0.7500153183937073,636.7775632022472,1099.6352703651685,0.6890803575515747,643.9695253979401,979.4276685393259,0.17252281308174133,332.7765829822098,843.0544095271536,0.4526948928833008,763.7587049391386,764.9836142322098,0.8467312455177307,765.0834650046818,770.0812704822098,0.8877812623977661,653.0549215823971,1085.631803019663,0.32531869411468506,600.8307730571162,1063.8231507490636
3,0.6018835674313938,0.9090414047241211,570.4901100187267,1236.862564372659,0.7464144229888916,511.59307701310865,1278.6111598782772,0.9049350023269653,557.5856595271536,1271.757666198502,0.5804224014282227,434.58640566479403,1214.1839302434457,0.2056370973587036,588.96718457397,1167.1637991573034,0.1841001808643341,373.4618591994382,1057.9747483614233,0.2441999614238739,601.0485428370787,1081.4502867509364,0.5548275113105774,262.0332250702247,685.7391883192884,0.4982770085334778,398.683359667603,227.0977988939607,0.9852715730667114,637.2515800561798,1080.9678575608614,0.6908285021781921,633.4321599953184,1093.9147354868915,0.6712107062339783,641.4960791198503,991.2201544943821,0.30788928270339966,325.81402153558054,859.1078534644195,0.42402610182762146,761.9670236423221,771.7404757724719,0.8835376501083374,755.7668393024344,773.5893609550562,0.920619010925293,650.4577042368915,1087.807891502809,0.5207828283309937,599.0079295411986,1067.5018287687267
4,0.5492254022289725,0.9100871086120605,545.7517702481274,1242.0676790730338,0.4665932059288025,484.6512172284645,1286.4407771535582,0.7484773993492126,565.9688085205993,1274.7853757022472,0.7807260751724243,424.2193352059926,1228.5445926966293,0.1359405517578125,557.3925415496255,1218.9009099953184,0.18227526545524597,369.9897588951311,330.3857970505618,0.21486017107963562,530.3996225421348,971.2952071629214,0.5262615084648132,262.2022033005618,687.5646652621723,0.42377960681915283,320.33605454119856,947.1608731273409,0.9852343201637268,641.9023583801497,1084.4463219803372,0.4119982123374939,625.5454851357679,1106.9964302434457,0.631549060344696,656.227030664794,1002.1320517322098,0.41234344244003296,324.76738061797755,867.5411838717229,0.5362345576286316,768.292661516854,777.4394311797753,0.8972042798995972,761.0587107911986,778.5780957397004,0.7216973304748535,622.8594627808989,1095.75703710206,0.3515697419643402,599.743679775281,1071.379842579588
5,0.45580680756007924,0.7990164160728455,565.2427141853933,1243.7027446161048,0.29824233055114746,496.6640332397004,1266.3813787453184,0.6901049613952637,555.7059047284645,1267.3155138108614,0.22207069396972656,445.67547401685397,1216.6000994850187,0.11037474870681763,573.0942766853933,1201.1772150046818,0.2293698489665985,381.71187382958806,275.2379045236423,0.09072425961494446,449.3993591994382,9.66374886616339,0.47069913148880005,261.01708801498125,692.8626814138577,0.40356767177581787,381.00684691011236,235.97094818000937,0.9987208843231201,629.6044738998128,1090.4839653558054,0.23263317346572876,605.7987330290262,1127.7073092228466,0.5177825689315796,651.8755120552435,1004.2423045411986,0.3230462968349457,327.4749824438203,875.4168129681648,0.6233223676681519,783.091643258427,780.4711639747192,0.9004886746406555,765.7247044709738,778.8834269662922,0.6832815408706665,624.443981156367,1095.6849104634832,0.15527015924453735,576.6016356507491,1068.2136587078653
6,0.4977494495756486,0.5389358401298523,541.8828271301498,1241.5695224719102,0.8450016975402832,530.1806091994382,1291.7162628745318,0.9042611122131348,508.43991397471916,1286.7038272471912,0.3279949724674225,466.27677317415737,1253.4211142322097,0.1116061806678772,512.3357765683521,1246.0072858146068,0.2994329333305359,356.44260592228466,353.2615724485019,0.18719422817230225,439.84140917602997,-8.621519853113297,0.5807567834854126,262.03432233146066,691.7682730571162,0.6648076176643372,391.5365314840824,226.183359667603,0.9653970003128052,300.4258836610487,375.86639747191015,0.18660053610801697,477.5324057818352,1028.8641151685395,0.5145671963691711,650.651334269663,1009.1468428136704,0.2104460895061493,496.4603084035581,1040.8590092462548,0.6437796354293823,783.9701837546818,783.5324496722847,0.9135483503341675,766.4260738529963,782.9863061797753,0.37499362230300903,596.6982677902622,1094.8065894194756,0.19241684675216675,586.9176468867041,1120.8347231975656
7,0.49545229533139395,0.30022215843200684,548.3871722846442,1239.4308871722847,0.33632415533065796,510.74013927902627,1290.596324906367,0.7845243215560913,525.4852089185393,1295.435246956929,0.12338206171989441,473.2648642322098,1256.2216175093633,0.12653383612632751,563.2449672284645,1138.7919885299625,0.24738186597824097,398.3967550327716,270.2320158883427,0.24057894945144653,448.0536048689139,-1.5592310759012173,0.6269848942756653,285.4655313670412,676.2678487827716,0.6126430630683899,267.59004857209743,794.7490197799626,0.988338053226471,601.5789589185393,1079.6662862827716,0.6831895112991333,482.10088951310865,1049.8727176966293,0.6881271600723267,616.9676088483147,1000.4797226123596,0.5046175122261047,496.9325696395132,1037.8832367743446,0.6797731518745422,780.6218545177903,783.02968457397,0.8852585554122925,765.3075257490636,784.3265742041199,0.47598764300346375,595.5303429307116,1085.4619469803372,0.1188221275806427,507.0382724719101,1075.4402212078653
8,0.4531261237228618,0.15124303102493286,532.1990578183521,1258.902738764045,0.12211853265762329,508.7076457162922,1285.9875351123596,0.6172020435333252,511.3446570692885,1292.1933520599252,0.0435466468334198,498.4306969803371,1248.9249765917602,0.037919849157333374,509.210703417603,1263.1909819756554,0.22423100471496582,365.6868123829588,342.8962576076779,0.3601779341697693,447.8298367275281,21.248308388927903,0.4287940263748169,274.6308813202247,705.5556530898876,0.6187407970428467,394.8700842696629,221.6356873244382,0.9439196586608887,601.7711259363297,1075.3754827949438,0.47562989592552185,466.82518433988764,1039.4556121254682,0.633578896522522,657.2122249531835,1010.1839009831461,0.290666401386261,496.1715823970038,1086.0869469803372,0.6326528191566467,772.8008690308989,767.0948180009364,0.9466670751571655,775.3530986657304,766.0347173455057,0.6721230149269104,592.2343164794008,1094.4798250234082,0.5039324760437012,608.204295411985,1093.736174508427
9,0.4319645026150872,0.09082341194152832,510.10584913389516,1233.224777621723,0.16330862045288086,570.2715355805244,1299.3211610486892,0.6452910900115967,566.0544680477528,1305.2650983146068,0.08188885450363159,463.75424274344573,1220.8999736657304,0.03306373953819275,522.8278616573034,1262.7590999531835,0.2008047103881836,372.58024637172286,328.00049742509367,0.1400664746761322,449.3823882256554,11.460488994469804,0.809013843536377,280.2005062031835,697.3532595973783,0.59874427318573,260.1784146769663,782.3890303136704,0.9157118797302246,302.9879154962547,380.0182145365169,0.22380399703979492,481.2365402621723,1045.2281571863296,0.7105257511138916,632.5358438670412,984.1663009129214,0.2210734784603119,548.7628745318352,980.9349397237828,0.4275367856025696,769.5272267088014,766.7750760767791,0.9420903921127319,770.1890946863296,764.9970008192884,0.8205917477607727,591.9909439372659,1106.9168422284645,0.31905749440193176,578.6624385533709,1087.9017439138577
